Timestamp_seconds,Sample_V
1580423613.17816,5.84674855675094e-05
1580423613.17916,6.46219577325191e-05
1580423613.18016,5.84674855675094e-05
1580423613.18116,5.84674855675094e-05
1580423613.18216,5.84674855675094e-05
1580423613.18316,5.84674855675094e-05
1580423613.18416,7.69309020625109e-05
1580423613.18516,6.46219577325191e-05
1580423613.18616,3.38495969074981e-05
1580423613.18717,2.76951247425161e-05
1580423613.18817,5.23130134024996e-05
1580423613.18917,5.23130134024996e-05
1580423613.19017,4.61585412375176e-05
1580423613.19119,5.23130134024996e-05
1580423613.19219,4.00040690725079e-05
1580423613.19319,2.76951247425161e-05
1580423613.1942,1.53861804124966e-05
1580423613.1952,3.38495969074981e-05
1580423613.1962,6.46219577325191e-05
1580423613.1972,6.46219577325191e-05
1580423613.1982,5.84674855675094e-05
1580423613.1992,5.84674855675094e-05
1580423613.2002,5.84674855675094e-05
1580423613.2012,5.84674855675094e-05
1580423613.2022,4.61585412375176e-05
1580423613.2032,5.84674855675094e-05
1580423613.2042,7.69309020625109e-05
1580423613.2052,9.53943185575123e-05
1580423613.2062,8.30853742275206e-05
1580423613.20721,6.46219577325191e-05
1580423613.20821,4.61585412375176e-05
1580423613.20921,4.61585412375176e-05
1580423613.21021,4.61585412375176e-05
1580423613.21121,4.00040690725079e-05
1580423613.21221,4.00040690725079e-05
1580423613.21321,4.00040690725079e-05
1580423613.21421,1.53861804124966e-05
1580423613.21521,9.23170824751463e-06
1580423613.21621,4.00040690725079e-05
1580423613.21721,7.07764298975011e-05
1580423613.21822,8.30853742275206e-05
1580423613.21922,7.07764298975011e-05
1580423613.22022,5.84674855675094e-05
1580423613.22122,5.23130134024996e-05
1580423613.22222,5.23130134024996e-05
1580423613.22322,4.00040690725079e-05
1580423613.22422,4.61585412375176e-05
1580423613.22522,5.23130134024996e-05
1580423613.22622,5.84674855675094e-05
1580423613.22722,6.46219577325191e-05
1580423613.22822,8.30853742275206e-05
1580423613.22923,8.92398463925026e-05
1580423613.23023,8.30853742275206e-05
1580423613.23123,7.69309020625109e-05
1580423613.23223,4.61585412375176e-05
1580423613.23323,9.23170824751463e-06
1580423613.23423,1.53861804124966e-05
1580423613.23523,4.61585412375176e-05
1580423613.23623,5.23130134024996e-05
1580423613.23723,5.23130134024996e-05
1580423613.23823,4.00040690725079e-05
1580423613.23923,4.00040690725079e-05
1580423613.24023,4.61585412375176e-05
1580423613.24124,5.23130134024996e-05
1580423613.24224,5.23130134024996e-05
1580423613.24324,4.61585412375176e-05
1580423613.24424,5.23130134024996e-05
1580423613.24524,4.61585412375176e-05
1580423613.24624,4.61585412375176e-05
1580423613.24724,2.76951247425161e-05
