Timestamp_seconds,Accel_X_g,Accel_Y_g,Accel_Z_g
1580417216.87445,-0.650156404974441,-0.498786907759213,-0.591561760891127
1580417216.90678,-0.653574425879301,-0.502204928664073,-0.595956359197375
1580417216.93911,-0.626230258640421,-0.486091401541161,-0.607675288014038
1580417216.97143,-0.656015869382772,-0.490974288548104,-0.611093308918898
1580417217.00391,-0.646738384069581,-0.483161669336996,-0.582284275577935
1580417217.03623,-0.686778057526512,-0.470466163118944,-0.607675288014038
1580417217.06856,-0.67750057221332,-0.501228351262684,-0.594979781795987
1580417217.10089,-0.630624856946669,-0.492927443350881,-0.599862668802929
1580417217.13321,-0.635019455252918,-0.481208514534218,-0.623300526436255
1580417217.16554,-0.650644693675135,-0.487556267643244,-0.607675288014038
1580417217.19787,-0.670176241702906,-0.463630121309224,-0.598397802700847
1580417217.23019,-0.649179827573052,-0.483161669336996,-0.618417639429312
1580417217.26252,-0.630136568245975,-0.489997711146716,-0.606210421911955
1580417217.29485,-0.671641107804989,-0.474860761425193,-0.620859082932784
1580417217.32717,-0.664805065995269,-0.474860761425193,-0.612069886320286
1580417217.3595,-0.603768978408484,-0.486579690241856,-0.630624856946669
1580417217.39183,-0.600350957503624,-0.457282368200199,-0.608651865415426
1580417217.42415,-0.613534752422369,-0.488044556343938,-0.623788815136949
1580417217.45648,-0.74927901121538,-0.501716639963378,-0.556404974441138
1580417217.48881,-0.757091630426491,-0.417242694743267,-0.656015869382772
1580417217.52113,-0.578866254673075,-0.503669794766155,-0.539803158617532
1580417217.55346,-0.665781643396658,-0.43579766536965,-0.653574425879301
1580417217.58579,-0.640390630960555,-0.490974288548104,-0.627206836041809
1580417217.61811,-0.562752727550164,-0.498298619058518,-0.623788815136949
1580417217.65044,-0.625253681239032,-0.42896162355993,-0.631601434348058
1580417217.68277,-0.634042877851529,-0.498298619058518,-0.626230258640421
1580417217.71509,-0.712169069962615,-0.465583276112001,-0.631601434348058
1580417217.74742,-0.644296940566109,-0.485603112840467,-0.587655451285572
1580417217.77975,-0.683848325322346,-0.473884184023804,-0.602304112306401
1580417217.81207,-0.712169069962615,-0.477790493629358,-0.607675288014038
1580417217.8444,-0.584237430380712,-0.486579690241856,-0.614023041123064
1580417217.87673,-0.607675288014038,-0.476325627527276,-0.616952773327229
1580417217.90905,-0.659433890287632,-0.473884184023804,-0.632578011749446
1580417217.94138,-0.672129396505683,-0.474372472724498,-0.611581597619592
1580417217.97371,-0.628183413443198,-0.515877012283513,-0.579354543373769
1580417218.00603,-0.635019455252918,-0.474860761425193,-0.682383459220263
1580417218.03836,-0.668711375600823,-0.430426489662013,-0.640878919661249
1580417218.07069,-0.660410467689021,-0.508552681773098,-0.589608606088349
1580417218.10301,-0.671641107804989,-0.474372472724498,-0.594003204394598
1580417218.13534,-0.664805065995269,-0.49390402075227,-0.612558175020981
1580417218.16767,-0.600839246204318,-0.471442740520333,-0.620859082932784
1580417218.19999,-0.681895170519569,-0.523201342793927,-0.576913099870298
1580417218.23232,-0.642343785763332,-0.49048599984741,-0.606698710612649
1580417218.26465,-0.703379873350118,-0.461188677805753,-0.602792401007095
1580417218.29706,-0.668223086900129,-0.49732204165713,-0.605233844510566
1580417218.32939,-0.641855497062638,-0.495368886854353,-0.599862668802929
1580417218.36171,-0.657969024185549,-0.485603112840467,-0.608163576714732
1580417218.39404,-0.629159990844586,-0.503181506065461,-0.599862668802929
1580417218.42637,-0.575448233768215,-0.492439154650187,-0.620859082932784
1580417218.45869,-0.705333028152895,-0.503669794766155,-0.582772564278629
1580417218.49102,-0.648203250171663,-0.480720225833524,-0.620370794232089
1580417218.52335,-0.645273517967498,-0.509040970473793,-0.575936522468909
1580417218.55568,-0.642832074464026,-0.494880598153658,-0.593514915693904
1580417218.588,-0.712657358663309,-0.475349050125887,-0.570565346761272
1580417218.62033,-0.690684367132066,-0.576913099870298,-0.577401388570992
1580417218.65266,-0.654551003280689,-0.448004882887007,-0.612069886320286
1580417218.68498,-0.573006790264744,-0.449958037689784,-0.626718547341115
1580417218.71731,-0.661875333791103,-0.485603112840467,-0.641855497062638
1580417218.74964,-0.575936522468909,-0.520271610589761,-0.605233844510566
1580417218.78197,-0.662363622491798,-0.487556267643244,-0.600350957503624
1580417218.81429,-0.710704203860532,-0.44605172808423,-0.591073472190432
1580417218.84662,-0.740489814602883,-0.483161669336996,-0.629648279545281
1580417218.87895,-0.619394216830701,-0.461188677805753,-0.579354543373769
1580417218.91127,-0.69117265583276,-0.537361715114061,-0.596444647898069
1580417218.9436,-0.675547417410543,-0.501716639963378,-0.56568245975433
1580417218.97593,-0.686778057526512,-0.476325627527276,-0.642343785763332
1580417219.00826,-0.679942015716792,-0.484138246738384,-0.538826581216144
1580417219.04058,-0.661875333791103,-0.502693217364767,-0.588632028686961
1580417219.07291,-0.618905928130006,-0.349858854047456,-0.564705882352941
1580417219.10524,-0.70142671854734,-0.56910048065919,-0.578377965972381
1580417219.13756,-0.700938429846646,-0.445075150682841,-0.562752727550164
1580417219.16989,-0.724376287479972,-0.563241016250858,-0.722423132677195
1580417219.20222,-0.586190585183489,-0.332280460822462,-0.617929350728618
1580417219.23455,-0.602792401007095,-0.607186999313344,-0.469489585717556
1580417219.26687,-0.680430304417486,-0.400152590218967,-0.667246509498741
1580417219.2992,-0.659922178988326,-0.466071564812696,-0.655527580682078
1580417219.33153,-0.635996032654306,-0.46314183260853,-0.594979781795987
1580417219.36385,-0.691660944533455,-0.382085908293279,-0.629159990844586
1580417219.39618,-0.751720454718853,-0.347417410543985,-0.656015869382772
1580417219.42851,-0.670176241702906,-0.514900434882124,-0.603280689707789
1580417219.46084,-0.653574425879301,-0.41870756084535,-0.590585183489738
1580417219.49316,-0.660898756389715,-0.412359807736324,-0.616952773327229
1580417219.52549,-0.654551003280689,-0.484138246738384,-0.596932936598764
1580417219.55782,-0.643320363164721,-0.492439154650187,-0.588632028686961
1580417219.59021,-0.697520408941786,-0.419195849546044,-0.614999618524452
1580417219.62254,-0.788342107270925,-0.443121995880064,-0.628671702143892
1580417219.65486,-0.724376287479972,-0.454352635996033,-0.622323949034866
1580417219.68719,-0.564705882352941,-0.413336385137713,-0.620859082932784
