Timestamp_seconds,Accel_X_g,Accel_Y_g,Accel_Z_g
1580417193.6966,-0.618417639429312,-0.54175631342031,-0.606210421911955
1580417193.72888,-0.613046463721675,-0.537361715114061,-0.591561760891127
1580417193.7612,-0.624765392538338,-0.543221179522392,-0.581795986877241
1580417193.79353,-0.622812237735561,-0.543709468223087,-0.598397802700847
1580417193.82585,-0.622812237735561,-0.534431982909895,-0.588632028686961
1580417193.85818,-0.617929350728618,-0.536873426413367,-0.590585183489738
1580417193.8905,-0.617929350728618,-0.542732890821698,-0.601327534905012
1580417193.92282,-0.621835660334172,-0.536385137712672,-0.593514915693904
1580417193.95515,-0.622323949034866,-0.532478828107118,-0.592050049591821
1580417193.98747,-0.633554589150835,-0.551522087434195,-0.600839246204318
1580417194.0198,-0.631113145647364,-0.520271610589761,-0.576913099870298
1580417194.05212,-0.617441062027924,-0.541268024719615,-0.625253681239032
1580417194.08444,-0.615976195925841,-0.521736476691844,-0.596444647898069
1580417194.11677,-0.628183413443198,-0.545662623025864,-0.620370794232089
1580417194.14909,-0.614023041123064,-0.524177920195315,-0.590585183489738
1580417194.18141,-0.617441062027924,-0.532478828107118,-0.609628442816815
1580417194.21374,-0.633066300450141,-0.52124818799115,-0.599374380102235
1580417194.24606,-0.634531166552224,-0.532967116807813,-0.609140154116121
1580417194.27839,-0.621835660334172,-0.52808422980087,-0.593514915693904
1580417194.31071,-0.633554589150835,-0.535408560311284,-0.574959945067521
1580417194.34303,-0.643808651865415,-0.546639200427252,-0.605722133211261
1580417194.37536,-0.634042877851529,-0.419195849546044,-0.586678873884184
1580417194.40768,-0.739513237201495,-1.08424505989166,-0.70826276035706
1580417194.44001,-0.747325856412603,-0.580819409475852,-0.36743724727245
1580417194.47233,-0.594491493095292,-0.447028305485619,-0.719005111772335
1580417194.50465,-0.573495078965438,-0.534431982909895,-0.590585183489738
1580417194.53698,-0.599862668802929,-0.568612191958495,-0.527107652399481
1580417194.5693,-0.650156404974441,-0.512947280079347,-0.576913099870298
1580417194.60162,-0.703868162050812,-0.537850003814755,-0.621347371633478
1580417194.63395,-0.646738384069581,-0.44605172808423,-0.577401388570992
1580417194.66627,-0.634531166552224,-0.551522087434195,-0.615487907225146
1580417194.6986,-0.720958266575112,-0.591561760891127,-0.512458991378653
1580417194.73092,-0.661875333791103,-0.450446326390479,-0.580819409475852
1580417194.76324,-0.635996032654306,-0.469489585717556,-0.660898756389715
1580417194.79557,-0.678965438315403,-0.512947280079347,-0.592538338292515
1580417194.82789,-0.661387045090409,-0.472419317921721,-0.594979781795987
1580417194.86022,-0.651132982375829,-0.460700389105059,-0.666758220798046
1580417194.89254,-0.593026626993209,-0.510017547875181,-0.593514915693904
1580417194.92486,-0.56910048065919,-0.52124818799115,-0.644296940566109
1580417194.95719,-0.537361715114061,-0.488044556343938,-0.674082551308461
1580417194.98951,-0.554940108339055,-0.519295033188373,-0.620370794232089
1580417195.02179,-0.522224765392538,-0.515388723582818,-0.625253681239032
1580417195.05411,-0.597421225299458,-0.542732890821698,-0.593514915693904
1580417195.08644,-0.696543831540398,-0.571541924162661,-0.536385137712672
1580417195.11876,-0.805432211795225,-0.461188677805753,-0.550057221332112
1580417195.15108,-0.701915007248035,-0.359624628061342,-0.692637521934843
1580417195.18341,-0.589608606088349,-0.538826581216144,-0.623300526436255
1580417195.21573,-0.712169069962615,-0.554940108339055,-0.56910048065919
1580417195.24806,-0.607186999313344,-0.505134660868238,-0.649179827573052
1580417195.28038,-0.596444647898069,-0.512458991378653,-0.636972610055695
1580417195.3127,-0.611093308918898,-0.511970702677958,-0.575936522468909
1580417195.34503,-0.603280689707789,-0.494880598153658,-0.614511329823758
1580417195.37735,-0.692149233234149,-0.470954451819638,-0.606698710612649
1580417195.40967,-0.725841153582055,-0.461676966506447,-0.585702296482795
1580417195.442,-0.785900663767453,-0.43579766536965,-0.590585183489738
1580417195.47432,-0.813244831006333,-0.343022812237736,-0.629648279545281
1580417195.50665,-0.832776379034105,-0.289311055161365,-0.611093308918898
1580417195.53897,-0.647226672770275,-0.458258945601587,-0.594491493095292
1580417195.57129,-0.534431982909895,-0.579354543373769,-0.623788815136949
1580417195.60362,-0.540779736018921,-0.501228351262684,-0.7048447394522
1580417195.63594,-0.413336385137713,-0.568612191958495,-0.759044785229268
1580417195.66827,-0.32983901731899,-0.710215915159838,-0.723399710078583
1580417195.70059,-0.388433661402305,-0.550057221332112,-0.629648279545281
1580417195.73291,-0.534431982909895,-0.530037384603647,-0.644785229266803
1580417195.76524,-0.669687953002212,-0.454352635996033,-0.444586861982147
1580417195.79756,-0.980239566643778,-0.40845349813077,-0.50757610437171
1580417195.82989,-1.11256580453193,-0.318120088502328,-0.573983367666132
1580417195.86221,-1.08522163729305,-0.306401159685665,-0.580819409475852
1580417195.89453,-0.761974517433433,-0.37085526817731,-0.588143739986267
1580417195.92686,-0.674570840009155,-0.435309376668956,-0.755138475623713
1580417195.95918,-0.522224765392538,-0.564217593652247,-0.704356450751506
1580417195.9915,-0.446540016784924,-0.376714732585642,-0.672129396505683
1580417196.02383,-0.40503547722591,-0.452399481193256,-0.803479056992447
1580417196.05615,-0.363042648966202,-0.55884641794461,-0.737071793698023
1580417196.08848,-0.326909285114825,-0.678965438315403,-0.637460898756389
1580417196.1208,-0.959731441214618,-0.416754406042573,-0.443610284580759
1580417196.15312,-0.658945601586938,-0.565194171053635,-0.574471656366827
1580417196.18545,-0.858167391470207,-0.32983901731899,-0.591073472190432
1580417196.21777,-0.867444876783399,-0.268314641031511,-0.693125810635538
1580417196.25009,-0.800549324788282,-0.414801251239796,-0.625741969939726
1580417196.28242,-0.626718547341115,-0.494392309452964,-0.644296940566109
1580417196.3147,-0.536873426413367,-0.503181506065461,-0.656015869382772
1580417196.34702,-0.539803158617532,-0.482185091935607,-0.675547417410543
1580417196.37934,-0.580331120775158,-0.433844510566873,-0.611581597619592
1580417196.41167,-0.740489814602883,-0.450446326390479,-0.604257267109178
1580417196.44399,-0.753185320820936,-0.361089494163425,-0.638925764858472
1580417196.47632,-0.890882734416724,0.260013733119706,-0.772716868848708
1580417196.50864,-0.717051956969557,-0.699473563744563,-0.577401388570992
1580417196.54096,-0.631113145647364,-0.352788586251622,-0.594003204394598
1580417196.57329,-0.662851911192492,-0.225345235370412,-0.661875333791103
1580417196.60561,-0.794201571679256,-0.445563439383536,-0.528572518501564
1580417196.63793,-0.715587090867475,-0.368902113374533,-0.615487907225146
1580417196.67026,-0.747814145113297,-0.341069657434959,-0.550545510032807
1580417196.70258,-0.76392767223621,-0.430426489662013,-0.554451819638361
1580417196.73491,-0.454352635996033,-0.34009308003357,-0.697032120241092
1580417196.76723,-0.657480735484855,-0.339604791332876,-0.675059128709849
1580417196.79955,-0.478278782330053,-0.605722133211261,-0.629159990844586
1580417196.83188,-0.671152819104295,-0.591073472190432,-0.591073472190432
1580417196.8642,-0.509040970473793,-0.536873426413367,-0.686289768825818
1580417196.89653,-0.579842832074464,-0.466071564812696,-0.577401388570992
1580417196.92885,-0.793713282978562,-0.397222858014802,-0.580331120775158
1580417196.96117,-0.753673609521631,-0.335210193026628,-0.613534752422369
1580417196.9935,-0.761974517433433,-0.412359807736324,-0.597421225299458
1580417197.02582,-0.82545204852369,-0.444586861982147,-0.540291447318227
1580417197.05815,-0.71851682307164,-0.38794537270161,-0.597909514000152
1580417197.09047,-0.71509880216678,-0.41187151903563,-0.584237430380712
1580417197.12279,-0.715587090867475,-0.375738155184253,-0.633066300450141
1580417197.15512,-0.690196078431372,-0.403082322423133,-0.624765392538338
1580417197.18744,-0.787365529869536,-0.362554360265507,-0.533943694209201
1580417197.21976,-0.836682688639659,-0.344487678339819,-0.617441062027924
1580417197.25209,-0.79810788128481,-0.284428168154422,-0.583260852979324
1580417197.28441,-0.691660944533455,-0.412359807736324,-0.741466392004272
1580417197.31674,-0.507087815671015,-0.478767071030747,-0.766857404440376
1580417197.34906,-0.399176012817579,-0.496345464255741,-0.647714961470969
1580417197.38138,-0.42212558175021,-0.424078736552987,-0.690684367132066
1580417197.41371,-0.580819409475852,-0.259037155718319,-0.722911421377889
1580417197.44603,-0.77076371404593,-0.390875104905776,-0.643808651865415
1580417197.47835,-0.887464713511864,-0.334233615625239,-0.575936522468909
1580417197.51068,-1.01344319829099,-0.311284046692608,-0.509040970473793
1580417197.543,-0.814221408407722,-0.309330891889831,-0.631113145647364
1580417197.57533,-0.711192492561226,-0.330815594720379,-0.629648279545281
1580417197.6077,-0.74927901121538,-0.433844510566873,-0.591073472190432
1580417197.64002,-0.622812237735561,-0.415777828641184,-0.685313191424429
1580417197.67234,-0.605233844510566,-0.373785000381476,-0.664805065995269
1580417197.70467,-0.612558175020981,-0.356206607156482,-0.692149233234149
1580417197.73699,-0.683848325322346,-0.459235523002976,-0.646738384069581
1580417197.76932,-0.760997940032045,-0.317143511100939,-0.619394216830701
1580417197.80164,-0.657969024185549,-0.341069657434959,-0.676035706111238
1580417197.83396,-0.599374380102235,-0.41187151903563,-0.616952773327229
1580417197.86629,-0.619394216830701,-0.488044556343938,-0.623788815136949
1580417197.89861,-0.760509651331351,-0.409918364232853,-0.624277103837644
1580417197.93093,-0.792736705577173,-0.315190356298162,-0.631113145647364
1580417197.96326,-0.755138475623713,-0.381597619592585,-0.560799572747387
1580417197.99558,-0.754161898222325,-0.398687724116884,-0.542732890821698
1580417198.02791,-0.749767299916074,-0.431403067063401,-0.618905928130006
1580417198.06023,-0.715587090867475,-0.447516594186313,-0.628671702143892
1580417198.09255,-0.613534752422369,-0.37769130998703,-0.595956359197375
1580417198.12488,-0.674570840009155,-0.431891355764096,-0.566659037155718
