Timestamp_seconds,Accel_X_g,Accel_Y_g,Accel_Z_g
1580417274.85789,-0.0217288471808956,0.0534676127260241,-1.01393148699168
1580417274.89005,-0.0163576714732585,0.0510261692225527,-1.02760357061112
1580417274.92221,-0.0163576714732585,0.0573739223315783,-1.00758373388266
1580417274.95437,-0.024170290684367,0.0485847257190812,-0.990981918059052
1580417274.98653,-0.0256351567864499,0.0612802319371326,-1.00856031128405
1580417275.01869,-0.0207522697795071,0.0573739223315783,-0.999282825970855
1580417275.05084,-0.0183108262760356,0.0505378805218584,-1.0129549095903
1580417275.083,-0.0295414663920042,0.0544441901274126,-1.01539635309377
1580417275.11516,-0.0256351567864499,0.0549324788281069,-1.00904859998474
1580417275.14732,-0.0236820019836728,0.0529793240253298,-1.00563057907988
1580417275.17948,-0.0173342488746471,0.0568856336308841,-1.01002517738613
1580417275.21164,-0.0231937132829785,0.0515144579232469,-1.00514229037919
1580417275.2438,-0.0227054245822842,0.0441901274128327,-1.01197833218891
1580417275.27596,-0.0212405584802013,0.0466315709163041,-1.01149004348821
1580417275.30812,-0.0246585793850613,0.0485847257190812,-1.01783779659724
1580417275.34027,-0.0104982070649271,0.0534676127260241,-1.0124666208896
1580417275.37243,-0.0231937132829785,0.0549324788281069,-1.00953688868544
1580417275.40459,-0.0212405584802013,0.0466315709163041,-1.02906843671321
1580417275.43675,-0.0217288471808956,0.0461432822156098,-1.0207675288014
1580417275.46905,-0.0246585793850613,0.0534676127260241,-1.01686121919585
1580417275.50121,-0.0231937132829785,0.0476081483176927,-1.00270084687572
1580417275.53337,-0.0295414663920042,0.0588387884336612,-1.0124666208896
1580417275.56553,-0.0144045166704814,0.0554207675288012,-1.01832608529793
1580417275.59769,-0.0236820019836728,0.0593270771343555,-1.01002517738613
1580417275.62985,-0.0222171358815899,0.0549324788281069,-1.02174410620279
1580417275.66201,-0.0124513618677042,0.0520027466239412,-1.0207675288014
1580417275.69417,-0.0227054245822842,0.0583504997329669,-1.01734950789654
1580417275.72633,-0.0207522697795071,0.0583504997329669,-1.01637293049516
1580417275.75849,-0.0271000228885327,0.0515144579232469,-1.01197833218891
1580417275.79065,-0.024170290684367,0.0544441901274126,-1.01734950789654
1580417275.82281,-0.0266117341878385,0.0490730144197755,-1.01149004348821
1580417275.85497,-0.0153810940718699,0.0476081483176927,-1.01344319829099
1580417275.88713,-0.0227054245822842,0.0568856336308841,-1.01637293049516
1580417275.91928,-0.0222171358815899,0.0554207675288012,-1.00709544518196
1580417275.95144,-0.0192874036774242,0.0505378805218584,-1.01344319829099
1580417275.9836,-0.0178225375753414,0.0466315709163041,-1.01832608529793
1580417276.01576,-0.027588311589227,0.0500495918211641,-1.00758373388266
