Timestamp_seconds,Gyro_X_s,Gyro_Y_s,Gyro_Z_s
1580417107.72234,-1.67849240863666,-0.885023270008332,-1.0681315327688
1580417107.72632,-1.98367284657047,-0.885023270008332,-1.0681315327688
1580417107.73032,-2.16678110933094,-0.762951094834762,-1.0070954451819
1580417107.73431,-2.53299763485165,-0.70191500724809,-1.0681315327688
1580417107.73831,-2.83817807278547,-0.762951094834762,-0.946059357595232
1580417107.74231,-3.20439459830618,-0.70191500724809,-0.946059357595232
1580417107.74631,-3.38750286106665,-0.70191500724809,-1.0681315327688
1580417107.75031,-3.14335851071951,-0.762951094834762,-1.0681315327688
1580417107.75431,-2.83817807278547,-0.946059357595232,-1.12916762035547
1580417107.75831,-2.7161058976119,-0.946059357595232,-1.12916762035547
1580417107.76231,-2.7771419851988,-0.70191500724809,-1.31227588311594
1580417107.76631,-2.89921416037237,-0.640878919661191,-1.31227588311594
1580417107.7703,-3.02128633554594,-0.70191500724809,-1.43434805828952
1580417107.7743,-2.7771419851988,-0.762951094834762,-1.31227588311594
1580417107.7783,-2.7771419851988,-0.70191500724809,-1.43434805828952
1580417107.7823,-3.02128633554594,-0.396734569314049,-1.37331197070262
1580417107.7863,-3.38750286106665,-0.274662394140478,-1.37331197070262
1580417107.7903,-3.63164721141379,-0.274662394140478,-1.37331197070262
1580417107.7943,-3.93682764934761,-0.335698481727377,-1.43434805828952
1580417107.7983,-4.36408026245522,-0.274662394140478,-1.37331197070262
1580417107.80229,-4.54718852521546,-0.457770656900948,-1.25123979552905
1580417107.8063,-4.73029678797593,-0.640878919661191,-1.19020370794237
1580417107.8103,-5.15754940108332,-0.762951094834762,-1.19020370794237
1580417107.8143,-4.97444113832307,-0.70191500724809,-1.19020370794237
1580417107.8183,-4.54718852521546,-0.579842832074519,-1.25123979552905
1580417107.8223,-3.99786373693451,-0.51880674448762,-1.0681315327688
1580417107.8263,-3.93682764934761,-0.51880674448762,-0.946059357595232
1580417107.8303,-3.99786373693451,-0.457770656900948,-0.823987182421661
1580417107.8343,-4.11993591210808,-0.396734569314049,-0.640878919661191
1580417107.83829,-4.18097199969475,-0.51880674448762,-0.457770656900948
1580417107.84229,-3.99786373693451,-0.762951094834762,-0.335698481727377
1580417107.84629,-3.50957503624022,-0.70191500724809,-0.213626306553806
1580417107.85029,-3.32646677347975,-0.762951094834762,-0.152590218966907
1580417107.85429,-3.38750286106665,-0.885023270008332,-0.0305180437933359
1580417107.85829,-3.02128633554594,-1.0070954451819,0.091554131380235
1580417107.86229,-2.41092545967808,-1.19020370794237,0.152590218966907
1580417107.86629,-1.9226367589838,-1.19020370794237,0.274662394140478
1580417107.87029,-1.61745632104976,-1.12916762035547,0.396734569314049
1580417107.87428,-1.61745632104976,-1.0681315327688,0.396734569314049
1580417107.87828,-1.37331197070262,-0.885023270008332,0.457770656900948
1580417107.88228,-1.43434805828952,-0.762951094834762,0.640878919661191
1580417107.88626,-1.67849240863666,-0.823987182421661,0.762951094834762
1580417107.89026,-1.9226367589838,-1.0070954451819,0.762951094834762
1580417107.89426,-1.9226367589838,-1.12916762035547,0.762951094834762
1580417107.89826,-1.8616006713969,-1.0070954451819,0.885023270008332
1580417107.90226,-1.61745632104976,-1.12916762035547,0.823987182421661
1580417107.90625,-0.885023270008332,-1.0681315327688,0.823987182421661
1580417107.91025,-0.0305180437933359,-1.0681315327688,0.885023270008332
1580417107.91425,0.885023270008332,-0.946059357595232,1.0681315327688
1580417107.91825,1.73952849622333,-0.885023270008332,1.25123979552905
1580417107.92225,2.47196154726475,-0.885023270008332,1.55642023346309
1580417107.92625,2.83817807278547,-0.70191500724809,1.73952849622333
1580417107.93025,3.08232242313261,-0.762951094834762,1.67849240863666
1580417107.93425,3.20439459830618,-0.762951094834762,1.80056458381023
1580417107.93824,3.08232242313261,-0.885023270008332,1.98367284657047
1580417107.94224,3.26543068589308,-0.946059357595232,2.10574502174404
1580417107.94624,3.44853894865332,-1.0070954451819,2.16678110933094
