Timestamp_seconds,Sample_V
1580417193.68845,8.92398463925026e-05
1580417193.68945,8.30853742275206e-05
1580417193.69045,7.07764298975011e-05
1580417193.69145,7.07764298975011e-05
1580417193.69246,7.69309020625109e-05
1580417193.69346,8.30853742275206e-05
1580417193.69446,7.07764298975011e-05
1580417193.69546,6.46219577325191e-05
1580417193.69646,7.69309020625109e-05
1580417193.69746,8.30853742275206e-05
1580417193.69846,7.69309020625109e-05
1580417193.69947,6.46219577325191e-05
1580417193.70047,7.69309020625109e-05
1580417193.70147,7.69309020625109e-05
1580417193.70247,7.07764298975011e-05
1580417193.70347,7.07764298975011e-05
1580417193.70447,6.46219577325191e-05
1580417193.70547,7.69309020625109e-05
1580417193.70648,8.30853742275206e-05
1580417193.70748,7.07764298975011e-05
1580417193.70848,7.07764298975011e-05
1580417193.70948,7.69309020625109e-05
1580417193.71048,8.92398463925026e-05
1580417193.71148,7.07764298975011e-05
1580417193.71248,7.07764298975011e-05
1580417193.71349,7.69309020625109e-05
1580417193.71449,8.30853742275206e-05
1580417193.71549,6.46219577325191e-05
1580417193.71649,5.23130134024996e-05
1580417193.71749,7.07764298975011e-05
1580417193.71849,7.69309020625109e-05
1580417193.71949,7.07764298975011e-05
1580417193.72049,6.46219577325191e-05
1580417193.7215,7.69309020625109e-05
1580417193.7225,7.07764298975011e-05
1580417193.7235,6.46219577325191e-05
1580417193.7245,5.23130134024996e-05
1580417193.7255,6.46219577325191e-05
1580417193.7265,7.69309020625109e-05
1580417193.7275,7.69309020625109e-05
1580417193.72851,6.46219577325191e-05
1580417193.72951,5.84674855675094e-05
1580417193.73051,7.07764298975011e-05
1580417193.73151,8.30853742275206e-05
1580417193.73251,7.07764298975011e-05
1580417193.73351,6.46219577325191e-05
1580417193.73451,7.69309020625109e-05
1580417193.73551,7.69309020625109e-05
1580417193.73652,7.07764298975011e-05
1580417193.73752,6.46219577325191e-05
1580417193.73852,7.07764298975011e-05
1580417193.73952,7.69309020625109e-05
1580417193.74052,7.69309020625109e-05
1580417193.74152,6.46219577325191e-05
1580417193.74252,5.84674855675094e-05
1580417193.74353,6.46219577325191e-05
1580417193.74453,7.07764298975011e-05
1580417193.74553,6.46219577325191e-05
