Timestamp_seconds,Gyro_X_s,Gyro_Y_s,Gyro_Z_s
1580420491.25627,-1.8616006713969,-1.49538414587619,-1.0681315327688
1580420491.26027,-1.98367284657047,-1.37331197070262,-1.0681315327688
1580420491.26427,-2.10574502174404,-1.31227588311594,-1.0070954451819
1580420491.26827,-2.10574502174404,-1.25123979552905,-1.0070954451819
1580420491.27225,-2.04470893415737,-1.31227588311594,-0.946059357595232
1580420491.27625,-2.04470893415737,-1.31227588311594,-1.12916762035547
1580420491.28024,-2.10574502174404,-1.43434805828952,-1.0070954451819
1580420491.28424,-2.04470893415737,-1.31227588311594,-0.885023270008332
1580420491.28824,-1.80056458381023,-1.49538414587619,-0.885023270008332
1580420491.29224,-1.67849240863666,-1.43434805828952,-0.823987182421661
1580420491.29624,-1.55642023346309,-1.43434805828952,-0.640878919661191
1580420491.30024,-1.37331197070262,-1.31227588311594,-0.579842832074519
1580420491.30424,-1.19020370794237,-1.19020370794237,-0.579842832074519
1580420491.30824,-1.12916762035547,-1.25123979552905,-0.579842832074519
1580420491.31223,-1.0681315327688,-1.19020370794237,-0.396734569314049
1580420491.31623,-1.12916762035547,-1.0681315327688,-0.274662394140478
1580420491.32023,-1.0070954451819,-1.0681315327688,-0.091554131380235
1580420491.32423,-1.0681315327688,-1.19020370794237,-0.091554131380235
1580420491.32823,-1.0681315327688,-1.31227588311594,-0.152590218966907
1580420491.33223,-1.0681315327688,-1.31227588311594,-0.152590218966907
1580420491.33623,-1.25123979552905,-1.19020370794237,-0.091554131380235
1580420491.34023,-1.43434805828952,-1.12916762035547,0.091554131380235
1580420491.34422,-1.73952849622333,-1.19020370794237,0.0305180437933359
1580420491.34822,-2.10574502174404,-1.37331197070262,-0.0305180437933359
1580420491.35223,-2.34988937209118,-1.43434805828952,-0.0305180437933359
1580420491.35623,-2.53299763485165,-1.55642023346309,0.152590218966907
1580420491.36023,-2.34988937209118,-1.61745632104976,0.274662394140478
1580420491.36423,-2.41092545967808,-1.67849240863666,0.579842832074519
1580420491.36823,-2.10574502174404,-1.49538414587619,0.51880674448762
1580420491.37223,-1.98367284657047,-1.37331197070262,0.640878919661191
1580420491.37623,-1.8616006713969,-1.31227588311594,0.762951094834762
1580420491.38022,-1.43434805828952,-1.43434805828952,1.0070954451819
1580420491.38422,-1.0070954451819,-1.49538414587619,1.12916762035547
1580420491.38822,-0.640878919661191,-1.43434805828952,1.25123979552905
1580420491.39222,-0.457770656900948,-1.37331197070262,1.31227588311594
1580420491.39622,-0.762951094834762,-1.25123979552905,1.25123979552905
1580420491.40022,-1.25123979552905,-1.25123979552905,1.19020370794237
1580420491.40422,-1.49538414587619,-1.12916762035547,1.37331197070262
1580420491.40822,-1.67849240863666,-1.12916762035547,1.49538414587619
1580420491.41221,-1.73952849622333,-0.946059357595232,1.61745632104976
1580420491.41621,-1.9226367589838,-1.0070954451819,1.67849240863666
1580420491.42021,-1.9226367589838,-1.0070954451819,1.61745632104976
1580420491.42421,-1.8616006713969,-1.0681315327688,1.67849240863666
1580420491.42821,-1.67849240863666,-1.0681315327688,1.80056458381023
1580420491.43222,-1.61745632104976,-1.0681315327688,1.8616006713969
1580420491.43622,-1.67849240863666,-1.0070954451819,1.9226367589838
1580420491.44022,-1.73952849622333,-0.762951094834762,1.98367284657047
1580420491.44422,-1.80056458381023,-0.885023270008332,1.9226367589838
1580420491.44822,-1.8616006713969,-0.885023270008332,1.98367284657047
1580420491.45221,-1.8616006713969,-0.885023270008332,2.04470893415737
1580420491.45621,-1.98367284657047,-0.823987182421661,1.98367284657047
1580420491.46021,-1.9226367589838,-0.823987182421661,1.98367284657047
1580420491.46421,-1.73952849622333,-0.762951094834762,1.98367284657047
1580420491.46821,-1.55642023346309,-0.70191500724809,1.80056458381023
1580420491.47221,-1.61745632104976,-0.70191500724809,1.73952849622333
1580420491.47621,-1.67849240863666,-0.457770656900948,1.73952849622333
1580420491.4802,-1.55642023346309,-0.579842832074519,1.67849240863666
1580420491.4842,-1.31227588311594,-0.579842832074519,1.55642023346309
1580420491.4882,-1.0681315327688,-0.457770656900948,1.73952849622333
1580420491.4922,-1.0681315327688,-0.396734569314049,1.73952849622333
1580420491.4962,-1.25123979552905,-0.152590218966907,1.55642023346309
1580420491.5002,-1.49538414587619,-0.091554131380235,1.49538414587619
1580420491.5042,-1.67849240863666,-0.0305180437933359,1.37331197070262
