Timestamp_seconds,Accel_X_g,Accel_Y_g,Accel_Z_g
1580417216.87021,-0.733653772793163,-0.516853589684901,-0.403570611123827
1580417216.90254,-0.757091630426491,-0.50074006256199,-0.440192263675899
1580417216.93487,-0.720469977874417,-0.487556267643244,-0.442145418478676
1580417216.96721,-0.747325856412603,-0.479255359731441,-0.445563439383536
1580417216.99954,-0.727794308384832,-0.484138246738384,-0.451422903791867
1580417217.03187,-0.768322270542459,-0.502693217364767,-0.414801251239796
1580417217.06421,-0.78443579766537,-0.490974288548104,-0.430426489662013
1580417217.09654,-0.717051956969557,-0.499275196459907,-0.424567025253682
1580417217.12888,-0.716563668268863,-0.50415808346685,-0.429938200961319
1580417217.16121,-0.7390249485008,-0.48364995803769,-0.446540016784924
1580417217.19354,-0.744396124208437,-0.487556267643244,-0.421149004348822
1580417217.22588,-0.750743877317465,-0.487556267643244,-0.444098573281453
1580417217.25821,-0.719493400473029,-0.50757610437171,-0.436774242771039
1580417217.29034,-0.768322270542459,-0.501228351262684,-0.436285954070344
1580417217.32268,-0.776134889753568,-0.474372472724498,-0.450446326390479
1580417217.35501,-0.675547417410543,-0.501716639963378,-0.43579766536965
1580417217.38734,-0.678477149614709,-0.465583276112001,-0.460212100404364
1580417217.41968,-0.72535286488136,-0.472419317921721,-0.468024719615473
1580417217.45201,-0.76392767223621,-0.467048142214084,-0.473884184023804
1580417217.48435,-0.970473792629893,-0.459235523002976,-0.387457084000916
1580417217.51668,-0.588632028686961,-0.496345464255741,-0.45630579079881
1580417217.54902,-0.797619592584116,-0.532478828107118,-0.403082322423133
1580417217.58135,-0.749767299916074,-0.459235523002976,-0.49732204165713
1580417217.61368,-0.630136568245975,-0.482673380636301,-0.430426489662013
1580417217.64602,-0.739513237201495,-0.463630121309224,-0.478767071030747
1580417217.67835,-0.712657358663309,-0.465094987411307,-0.465094987411307
1580417217.71068,-0.80494392309453,-0.508064393072404,-0.419195849546044
1580417217.74302,-0.762951094834822,-0.46997787441825,-0.443121995880064
1580417217.77535,-0.723887998779277,-0.495368886854353,-0.42554360265507
1580417217.80768,-0.852307927061876,-0.482673380636301,-0.450446326390479
1580417217.84002,-0.683848325322346,-0.473884184023804,-0.419684138246739
1580417217.87235,-0.679453727016098,-0.494880598153658,-0.443121995880064
1580417217.90469,-0.776134889753568,-0.479255359731441,-0.464606698710613
1580417217.93702,-0.760021362630656,-0.473884184023804,-0.426520180056459
1580417217.96935,-0.72535286488136,-0.470466163118944,-0.440680552376593
1580417218.00169,-0.726817730983443,-0.543221179522392,-0.433844510566873
1580417218.03402,-0.766369115739682,-0.484138246738384,-0.465094987411307
1580417218.06636,-0.733165484092469,-0.453864347295339,-0.43579766536965
1580417218.09869,-0.775646601052873,-0.454352635996033,-0.448004882887007
1580417218.13102,-0.752208743419548,-0.486579690241856,-0.458747234302281
1580417218.16336,-0.69459067673762,-0.494880598153658,-0.436285954070344
1580417218.19569,-0.757579919127185,-0.496833752956436,-0.42554360265507
1580417218.22803,-0.760509651331351,-0.509529259174487,-0.441657129777981
1580417218.26036,-0.756115053025102,-0.500251773861295,-0.423590447852293
1580417218.29269,-0.766857404440376,-0.490974288548104,-0.416266117341879
1580417218.32503,-0.71509880216678,-0.511970702677958,-0.416754406042573
1580417218.35736,-0.74244296940566,-0.48706797894255,-0.449958037689784
1580417218.38969,-0.72535286488136,-0.468024719615473,-0.427985046158541
1580417218.42203,-0.665781643396658,-0.506599526970321,-0.429938200961319
1580417218.45436,-0.778088044556345,-0.496345464255741,-0.445075150682841
1580417218.4867,-0.774670023651485,-0.489997711146716,-0.425055313954376
1580417218.51903,-0.714610513466086,-0.508552681773098,-0.416266117341879
1580417218.55136,-0.757579919127185,-0.50415808346685,-0.440680552376593
